Time,PlayerHealth
0,0
1.002726,100
2.007521,100
3.00966,100
4.010107,100
5.010808,100
6.015139,72
7.018904,72
8.023874,72
9.024185,72
10.02524,72
11.03445,72
12.03497,72
13.03668,66
14.04001,66
15.04344,66
16.04761,66
17.04802,48
18.05166,48
19.05298,38
20.06003,38
21.06673,38
22.06879,38
23.0754,38
24.07971,38
25.08612,33
26.0902,73
27.09251,60
28.09576,60
29.10365,60
30.11097,60
31.11622,60
32.1252,60
33.12649,60
34.13616,24
35.14025,24
36.14458,24
37.15219,24
38.15306,24
39.15672,19
40.16166,19
41.17008,19
42.17272,39
43.1778,39
44.17908,39
45.18359,39
46.19127,39
47.1972,39
48.20037,39
49.20565,39
50.21209,34
51.22448,12
52.23601,12
53.23698,8
54.24065,0
55.24222,0
56.24454,100
57.25205,100
58.25275,92
59.25584,60
60.26616,60
61.2667,60
62.27145,60
63.27156,60
64.27422,60
65.27887,60
66.28362,60
67.2853,60
68.28857,60
69.2896,60
70.29323,80
71.29724,80
72.29876,100
73.30093,100
74.30271,100
75.30334,100
76.311,100
77.31366,100
78.31557,100
79.32088,100
80.32912,100
81.33572,100
82.33688,100
83.34308,100
84.34772,100
85.35442,76
86.36109,76
87.36908,76
88.37105,76
89.37496,76
90.37685,76
91.37804,69
92.38248,69
93.3855,69
94.39899,69
95.40487,69
96.40726,89
97.41041,100
98.41466,100
99.42082,100
100.421,100
101.4213,100
102.4282,100
103.4362,100
104.4389,100
105.4441,100
106.4447,100
107.447,100
108.4486,100
109.449,100
110.4538,100
111.4558,100
112.4566,76
113.4583,76
114.4605,76
115.4675,76
116.4683,76
117.4789,76
118.484,88
119.4922,88
120.4936,88
121.4951,88
122.5018,88
123.5027,100
124.5061,100
125.5116,100
126.5122,100
127.5159,100
128.5384,100
129.54,100
130.5447,100
131.547,100
132.5505,100
133.5541,100
134.5628,100
135.5656,92
136.5671,92
137.568,92
138.5771,92
139.5776,92
140.5835,92
141.5836,92
142.5983,92
143.6014,92
144.6075,92
145.6145,92
146.6148,92
147.6215,92
148.6285,92
149.6293,92
150.6399,92
151.6476,92
152.6489,100
153.653,100
154.6606,100
155.6611,100
156.6693,100
157.68,100
158.6856,100
159.6926,100
160.6933,100
161.6965,100
162.6981,100
163.7037,100
164.7083,100
165.7166,68
166.7173,61
167.7265,57
168.7328,57
169.7406,77
170.7479,77
171.7511,77
172.7566,77
173.7632,77
174.7725,77
175.7763,77
176.7884,77
177.7943,77
178.7963,77
179.8013,77
180.8097,77
181.8121,77
182.8193,70
183.824,63
184.8299,63
185.8362,63
186.8385,63
187.852,63
188.8562,63
189.8576,63
190.8615,63
191.8669,63
192.8721,63
193.8728,83
194.8775,69
195.8797,81
196.9055,81
197.909,81
198.9126,81
199.9134,81
200.9174,81
201.9217,67
202.9299,67
203.9305,100
204.939,100
205.9443,100
206.9472,100
207.9508,100
208.9545,100
209.9561,100
210.9593,100
211.9625,100
212.9651,100
213.9662,100
214.9679,100